Driver,Rest1,City1,Highway1,City2,Highway2,City3,Rest2,TotalTime(min)
Drive05,15.13,16,7.74,6.06,7.56,14.96,15.75,83.23
Drive06,15.05,14.49,7.32,6.53,7.64,12.29,15.05,78.38
Drive07,15.04,16.23,10.96,9.83,7.64,10.15,15.03,84.87
Drive08,15,12.31,7.23,9.51,7.64,13.43,15.07,80.19
Drive09,15.66,19.21,8.47,5.2,7.06,13.21,NaN,68.82
Drive10,15.04,15.3,8.66,5.27,7.04,12.06,14.79,78.15
Drive11,15.02,15.81,7.43,7.15,6.96,11.72,14.99,79.08
Drive12,15.01,13.41,7.56,6.5,8.06,11.68,15.01,77.23
Drive15,15,12.54,7.24,5.99,6.82,12.12,15,74.7
Drive16,15.01,16.12,7.14,5.12,6.81,13.91,NaN,64.1
